Business Forum,,,,,
시간,진행 내용,세부 사항,담당,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Activity 1,,,,,
글로벌 지회 친선 골프대회 Arrowhead Golf Club 6월26일 금요일,,,,,Check List 
시간,진행 내용,세부 사항,담당,,1. 기본 셋팅 전날 저녁에 가능한지 확인 필요 (아침에 행사 후 셋팅이 어려울 것으로 예상됨) OR 발룬티어 미리 보내 셋업가능한지 확인 요망
12:00-12:30,접수 및 체크인,"참가자 확인, 스코어카드 배부, 카트 배정",,,
12:30-12:45,브리핑,"경기 방식, 규칙, 이벤트 홀 안내",이승우 이사장,,"2. 현장 세팅 (사전 준비 필수):팀/홀 배정표 미리 출력
카트에 이름 부착
스코어카드 카트별 배치. 배너 설치"
12:45-1:00,홀 이동,각 팀 지정 홀로 이동/간식 점심 배분,전체,,
1:00,샷건 스타트,모든 팀 동시 시작,,,"3. 운영요원 (차세대): 이름 확인
스코어카드 전달
카트/홀 안내, 상품 정리, 순서 리허설, 자리 착석 유도"
,,시상식 및 저녁식사 테이블 준비,,,
3:00,간식 및 음료,코스 내 간단한 리프레시 제공,주회자/발룬티어,,
5:30-6:00,경기 종료,클럽하우스로 복귀,참가자,,
6:00- 7:00,스코어 제출,스코어카드 수거 및 확인,,,
,자유시간,"네트워킹, 휴식",,,
,시상 준비,결과 정리 및 좌석 안내,,,
7:00-7:10,저녁 시작 및 오프닝,환영 인사,MC,,
7:10 - 9:00 ,저녁 식사,식사 제공,,,
,시상식,수상자 발표 및 시상,MC/주최,,
,,,,,
,,,,,
,,,,,
Activity 2,,,,,
,,,,,
Pikes Peak Cog Trailway,,,,,
시간,진행 내용,세부 사항,담당,,Check List
11:00-11:05,Gathering,참가자 인원 점검 및 일정 안내,,,각 그룹별 명단 만들기
11:05-11:15,환복,룸으로 이동 후 환복,,,준비물 구비하기
11:15-11:20,이동 및 차량 탑승,배정된 차량으로 이동 후 탑승,,,비상연락망 
11:20-11:30,인원 체크 후 출발,"각 차량 인원 체크, 준비물 체크 후 출발",,,점심 및 간식 미리 픽업 필요
11:30-12:40,점심 제공 (차량 이동),차량 이동 중 점심식사 제공,,,** 출발시간 엄수** 월요일 기준 목적지까지 1시간 40분 나옴
12:40-1:15,체크인,체크인 및 화장실 이용,,,
1:15-1:20,기차 탑승,안내 방송 후 관광 시작,,,
1:20-2:25,Summit 도착 후 자유시간,"30-35분 자유시간, 사진 촬영 및 화장실 이유 우선",,,
2:50-3:00,하행 탑승 시작,"10분전, 5분전 경적",,,
3:00-4:10,하행,휴식,,,
4:10-4:30,화장실 사용 및 차량 탑승,인원 체크,,,
4:30-6:30,Arrowhead Golf Club 이동,도착 후 휴식 ,,,
7:00-9:00,저녁 식사 ,Arrowhead Golf Club,,,
