Day-3 6월27일 토요일,,,,,Check List 
시간,진행 내용,세부 사항,담당,,1. 스프링스 관광 가지 않는 분들 공항 ride??
7:00- 09:00,조식 및 hotel check out,"참가자 확인, 스코어카드 배부, 카트 배정",운영 ,,
8:50,Colorado Springs 관광 출발 (1시간 10분 소요 예상),"Garden of Gods, Seven Falls",,,"2. 스프링스 관강 인원 체크 : 밴 운전자 (네이슨 갈스터, 윤정민) "
10:00- 11:00,Garden of God 도착 예정/관광 시작 ,,,,
11:05 - 11:20,The Broadmoor 호텔로 이동(이동시간 15분 예상),장소 변경 가능 ,,,3. 발룬티어 리스트 
11:20 - 12:20,The Broadmoor 호텔 관광 ,"장소 변경 가능, 관광",,,
12:30- 1:30,점심/휴식,Ruby's Country Store and Bar-B-Q,https://rudysbbq.com/menu,,4. 6월27일 출국자 명단
1:30,덴버로 출발 ,,,,
3:00,호텔 도착 및 공항 이동 ,DIA,지원,,"5. 스프링스 관광 추천: The Broadmoor                   US Olympic &Paralympic Museum (Museum ticket price: Adult:$23.95, Senior: $20. Group tour 12 or more. Need to send an email to inquiry. https://usopm.org/plan-your-visit/group-tours/). "
