Day-4 6월28일 일요일,,,,,,,
시간,진행 내용,세부 사항,Note,,,,
7:00- 09:00,Breakfast ,,,,,,
9:00,호텔에서 Coors tour출발,차량 운전자 필요,,,,,
10:00- 12:00,Coors Brewery Tour,예약 완료(14명),,,,,
12:00-12:30,식사장소로 이동,,,,,,
12:30- 1:30,Lunch,Bridgewater Grill,https://bridgewatergrill.com/,,,,
1:30,호텔 또는 공항 이동,,,,,,
,,,,,,,
3:00,,,,,,,
,,,,,,,
Activity Day4,Tasks,Person(s) Responsible,세부 사항,Status,Notes,,
Red Rocks & Coors (6/28),사전 답사,"박수영 기획위원장, 김경숙 홍보위원장",,Not Started,생략,운전자,윤정민
,티켓 예약,"김경숙 홍보위원장, 박수영 기획위원장",6/3/2026,Completed,예약완료(6/3),,
,차량 및 좌석 배정,"최준경 회장, 박수정 부회장",,,,,
,점심 예약 ,윤정민 총무,,,,,
,그룹 배정,"최준경 회장, 박수정 부회장",,,,,
,비상상황 대응 계획 정리,최준경 회장,,,,,
,참석 인원 파악,"박수정 부회장, 최준경 회장",NJ / ,,,,
